status	source	name	name_en	author	candidate	name_zh	evidence
auto	mod:lavverso Song Pack	MIRA	MIRA	Kanaria	self	MIRA	self-display-fallback
auto	mod:lavverso Song Pack	BlackFlagBreaker!!	BlackFlagBreaker!!	sasakure.UK	self	BlackFlagBreaker!!	self-display-fallback
auto	mod:lavverso Song Pack	Makeup	Makeup	香椎モイミ	self	Makeup	self-display-fallback
auto	mod:lavverso Song Pack	4BLOOD	4BLOOD	KIRA	self	4BLOOD	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	Blessing	Blessing	halyosy, 紅い流星, ゴサマル	self	Blessing	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	Alive	Alive	市瀬るぽ	self	Alive	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	needLe	needLe	DECO*27	self	needLe	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	Ready Steady	Ready Steady	ギガP	self	Ready Steady	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	Gimme×Gimme	Gimme×Gimme	ギガP, 八王子P	self	Gimme×Gimme	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	ECHO	ECHO		self	ECHO	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	Forward	Forward	R Sound Design	self	Forward	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	Brand New Day	Brand New Day	いるかアイス	self	Brand New Day	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	Color of Drops	Color of Drops	40mP	self	Color of Drops	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	drop pop candy	drop pop candy	ギガP	self	drop pop candy	self-display-fallback
auto	mod:Project Hoshikuzu - Song Pack	RAD DOGS	RAD DOGS	八王子P	self	RAD DOGS	self-display-fallback
auto	mod:EdenMasochistPack	Tempestissimo	Tempestissimo	t+pazolite	self	Tempestissimo	self-display-fallback
auto	mod:EdenMasochistPack	ENDYMION	ENDYMION	ARM/RabbiTon Strings	self	ENDYMION	self-display-fallback
auto	mod:EdenMasochistPack	Misfortune	Misfortune	χ-kai-	self	Misfortune	self-display-fallback
auto	mod:EdenMasochistPack	boku-boku II	boku-boku II	AVTechNO	self	boku-boku II	self-display-fallback
auto	mod:EdenMasochistPack	FREEDOM DiVE↓	FREEDOM DiVE↓	XI	self	FREEDOM DiVE↓	self-display-fallback
auto	mod:EdenMasochistPack	ANTI THE∞HOLiC	ANTI THE∞HOLiC	cosMo＠暴走P	self	ANTI THE∞HOLiC	self-display-fallback
auto	mod:EdenMasochistPack	Anti the EuphoriaHOLiC	Anti the EuphoriaHOLiC	cosMo＠暴走P	self	Anti the EuphoriaHOLiC	self-display-fallback
